case_id,psnr_full,ssim_full,mae_full,rmse_full,mask_nonzero_area_fraction,original_mean_mask_nonzero,generated_mean_mask_nonzero,original_std_mask_nonzero,generated_std_mask_nonzero,mae_mask_nonzero,mask_labels
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53,23.43992016656873,0.7515233752324787,0.12341629553277622,0.29872858824643406,0.3662567138671875,1.4172120505979007,1.16640797480448,0.7017922876547255,0.7882260857585028,0.32529887664792223,0.0|0.5|1.0
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27,26.686533583930622,0.814532588856356,0.09782396718225783,0.26033542769112794,0.3221321105957031,1.573801108517188,1.3899419163990183,0.5791319831952215,0.6526502884531572,0.2928198602245972,0.0|0.5|1.0
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59,23.12319031043821,0.7584130646241812,0.1355510487751097,0.3246004454360958,0.3743858337402344,1.5765495834539764,1.406265499666295,0.5568983984561361,0.5792967221571279,0.3549601962894011,0.0|0.5|1.0
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-75,23.09888696582909,0.7854520704218535,0.1510836266713511,0.34799419231785106,0.37920379638671875,1.822771115799623,1.461879409774112,0.25710614214471467,0.40998821033637906,0.3922519981715522,0.0|0.5|1.0
1.000000-P4P117S301I00003 Gated 0.0A-30542-1-114,22.860657475692243,0.7592766820253112,0.12824678650699362,0.3403387179495902,0.36730194091796875,1.7530833742920386,1.468217331380167,0.2552672714911168,0.45424778679492117,0.3415448922085601,0.0|0.5
1.000000-P4P117S301I00004 Gated 10.0A-87756-1-094,22.452993669791645,0.7402876458088441,0.14013475843711554,0.3621974743165347,0.3847236633300781,1.8068842728367691,1.5234285391943188,0.29383543223578884,0.49211938892235146,0.35794049281347673,0.0|0.5|1.0
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-029,25.443867446842763,0.8331544695187829,0.09733435449209082,0.2875036330549486,0.296051025390625,1.7913701855417443,1.5785552816415191,0.34101939120843766,0.3843262082322585,0.31305295368807723,0.0|0.5
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-033,25.626002246116734,0.8279526331879936,0.10102244522560522,0.30165665509371653,0.30420684814453125,1.8073413164064887,1.59129785898882,0.35425200963745485,0.4110513398907918,0.31892130791153267,0.0|0.5
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-037,25.8741859238307,0.8220877687184884,0.10273333584779287,0.2977380218766436,0.31142425537109375,1.7636890802859273,1.5608461288721387,0.4686468726086317,0.5035119562246815,0.31559327742301135,0.0|0.5|1.0
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-106,23.86559189749144,0.7415107818646665,0.1117098171507176,0.29722904394365346,0.3786964416503906,1.7490368892246722,1.5850365588380804,0.3036123154594704,0.3887607716353984,0.2891729940751915,0.0|0.5
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-142,24.62325389582341,0.8225278857662119,0.09774718196982635,0.302556244686784,0.3290061950683594,1.6835466717149912,1.5498830583106247,0.34432821197671215,0.37494739264887944,0.2884927266005647,0.0|0.5
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044,25.777858921395264,0.81126466535615,0.10007456560260186,0.28754449965538503,0.3259925842285156,1.5659221318579335,1.3915416496253725,0.619888320791628,0.6848252689187643,0.2947210326548868,0.0|0.5|1.0
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-115,22.984122486812844,0.7372058052072892,0.1253407570646594,0.33380921665609825,0.3618049621582031,1.7495182727750418,1.4940583852455225,0.2855702521724734,0.43575972995025936,0.33929562714939493,0.0|0.5
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-117,24.46475833066856,0.7590352200871519,0.10732859829977537,0.29473726520379917,0.35704803466796875,1.7470418615809702,1.570056465295539,0.2698238391834064,0.4052422699096763,0.2929187865828017,0.0|0.5
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062,23.735473360476927,0.7475956874014258,0.1184319695638334,0.3124794294842516,0.3539237976074219,1.4024054577844518,1.1574216496676373,0.6973411202970259,0.7971017735751731,0.32429093173016105,0.0|0.5|1.0
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-108,22.92967083478919,0.7472809036971334,0.1534559843102623,0.37342454882933573,0.3756370544433594,1.7424969480935004,1.391386910535301,0.2970263350518127,0.4565418189712999,0.4018067936502591,0.0|0.5
1.000000-P4P117S301I00009 Gated 60.0A-11379-1-034,25.55951012827018,0.8240161748638871,0.1026322096127732,0.3070542859306132,0.3056793212890625,1.805944546647487,1.573304335834556,0.3744378200216247,0.42263263726658523,0.32420213543660603,0.0|0.5|1.0
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-025,23.851188750707088,0.8020138271998113,0.11956661483381614,0.3545801150124651,0.31728363037109375,1.6851846888817836,1.5643290169849529,0.5936816433351796,0.47490301064418916,0.36578559159036333,0.0|0.5
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072,22.094595330852673,0.7334760527103819,0.14890647682910618,0.3568040862348508,0.3741416931152344,1.4701274129989137,1.1203819563613164,0.6632220539395115,0.7729884766300579,0.389539044755028,0.0|0.5|1.0
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-142,24.259176135978116,0.8190700307936423,0.11320162192910743,0.3245988728557452,0.3272438049316406,1.6740831197496269,1.4432381253881688,0.356916385224506,0.39257041278441457,0.3374892743480138,0.0|0.5
1.000000-P4P117S301I00011 Gated 80.0A-27810-1-091,23.05867979359759,0.7578671463222835,0.15166833891223774,0.3429349152674233,0.38596343994140625,1.771712513350107,1.423219028913723,0.32556385848383124,0.43437386478261525,0.3859333936029494,0.0|0.5|1.0
1.000000-P4P117S301I00011 Gated 80.0A-27810-1-092,23.921328298295983,0.7620133847765782,0.1277803073899566,0.2984268140362074,0.385833740234375,1.7886925261053557,1.5205669441185685,0.30866362178701895,0.3844699305035151,0.3231968968697623,0.0|0.5|1.0
1.000000-P4P117S301I00011 Gated 80.0A-27810-1-147,24.36619231462931,0.8076659223490936,0.10388244032576255,0.31267477244313413,0.3297004699707031,1.6774493553753875,1.519949462501688,0.36017421317776516,0.395902378663956,0.30669583838568204,0.0|0.5
1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054,25.99370658164737,0.8101957466166054,0.0896292637862337,0.23044357637501686,0.3524932861328125,1.2770585471092597,1.1928640308182867,0.8283387330767665,0.7976977807515158,0.24438471942856588,0.0|0.5|1.0
1.000000-P4P117S302I00004 Gated 10.0A-72147-1-111,25.634992248192866,0.8404762547588408,0.0985910193527646,0.2745046957796928,0.34108734130859375,1.7458272604603853,1.5464456623731522,0.27025703079922897,0.3712261263385945,0.2801433067077663,0.0|0.5
1.000000-P4P117S302I00005 Gated 20.0A-66392-1-104,25.777491106120863,0.8188317659022963,0.09415984273167144,0.2467631570432154,0.3546562194824219,1.7510880794593247,1.5909443502907266,0.2746753292455986,0.3094425162774125,0.2590235361896521,0.0|0.5
1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036,27.942874721490515,0.8503640876596914,0.08076853232407899,0.222058417328687,0.3201141357421875,1.4335016405843395,1.3227353980015724,0.7208152260207525,0.7266979920477795,0.2376180710973244,0.0|0.5|1.0
1.000000-P4P117S302I00006 Gated 30.0A-18623-1-111,26.501596172307327,0.8347230616486256,0.10198115277830766,0.26041185171993736,0.3371124267578125,1.7592208648996346,1.5158241129412875,0.25067981877589335,0.3087616895978209,0.29564420278341563,0.0|0.5
1.000000-P4P117S302I00007 Gated 40.0A-15834-1-091,23.32628852432586,0.8084005684439141,0.14046594858194172,0.33684459966850655,0.37090301513671875,1.7822046371887879,1.4910344845257424,0.3545551713105707,0.33757656086420845,0.37263946122021047,0.0|0.5
1.000000-P4P117S302I00008 Gated 50.0A-80899-1-090,22.456853114230544,0.7782795747607415,0.16360386096558122,0.3669884557770953,0.37110137939453125,1.786212633522617,1.4172349405197215,0.3623635688126212,0.34564248339847986,0.43496034963990443,0.0|0.5
1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047,26.543818914648757,0.822924534749044,0.08624107499389089,0.22707047097309332,0.3382682800292969,1.3418794217005319,1.2229483550727946,0.7702740721671345,0.7617650069937023,0.24568799106119432,0.0|0.5|1.0
1.000000-P4P117S302I00009 Gated 60.0A-40067-1-084,24.19547324720145,0.7982891007792993,0.1275475532610848,0.2972620675151512,0.3721351623535156,1.8218866990385396,1.5275244346764436,0.2659647179017669,0.34941661504414373,0.3362735455440287,0.0|0.5|1.0
1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070,23.127124346008884,0.7879317430057002,0.12483451510298771,0.3115500318626229,0.37531280517578125,1.5088288730234125,1.385156059342414,0.6135123146602159,0.5532364497295881,0.32562551148096136,0.0|0.5|1.0
1.000000-P4P117S302I00012 Gated 90.0A-85656-1-024,27.25836545176545,0.8671634633457808,0.08113270961700092,0.2416379573544152,0.292755126953125,1.8050972376633199,1.6972583687885991,0.3759666202079929,0.3160463414340115,0.2626313265701973,0.0|0.5|1.0
1.000000-P4P117S302I00012 Gated 90.0A-85656-1-080,24.85774538115059,0.8147639199917386,0.1268424236331751,0.2943583342807876,0.3746490478515625,1.6855077717020137,1.4278742302950451,0.45708932347108255,0.4700006981813977,0.3322594066851029,0.0|0.5|1.0
1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051,25.828626216852562,0.8035909191909804,0.0933046653500984,0.2674576940112991,0.342681884765625,1.287480021057137,1.211612889154308,0.779411107024638,0.7826418845076363,0.26116391096511554,0.0|0.5|1.0
1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033,25.156741604035226,0.8034544664621144,0.10547534695666982,0.30630579929147583,0.3126106262207031,1.5590902086580392,1.2970908492583428,0.6522800425718277,0.6876495195540765,0.324067112421627,0.0|0.5|1.0
1.000000-P4P117S303I00007 Gated 40.0A-82386-1-111,24.670962658331874,0.8195498759444717,0.10386096982837989,0.30942703722336967,0.3435630798339844,1.725177400773409,1.540971373756353,0.29068761141061356,0.4258067735575174,0.2946746517388002,0.0|0.5
1.000000-P4P117S303I00011 Gated 80.0A-65416-1-100,23.139905791213003,0.7892969924969127,0.1253320378564755,0.3499148256057823,0.366058349609375,1.6979066784667303,1.5250483836287656,0.41240206944552005,0.3861808647809172,0.33616615069105465,0.0|0.5
1.000000-P4P117S304I00005 Gated 20.0A-61359-1-80,24.536184127339354,0.7868586970740205,0.12603016048298166,0.3069036337040166,0.3731956481933594,1.750208678564175,1.5038382097994583,0.34619771118864523,0.4300906524261531,0.3297458739024157,0.0|0.5|1.0
1.000000-P4P117S304I00006 Gated 30.0A-26984-1-82,22.93893959752222,0.7326485839668444,0.15836360904616908,0.3509917034594301,0.3719596862792969,1.7913167410030766,1.4148061034121708,0.3195119144933781,0.39408329419589405,0.41928024530626967,0.0|0.5|1.0
1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58,25.03812497255388,0.7753880774792069,0.1003165107337427,0.26296564543002765,0.3442192077636719,1.3479291204246557,1.183963782177682,0.7428631019352547,0.80926880043565,0.2811675893410703,0.0|0.5|1.0
1.000000-P4P117S304I00010 Gated 70.0A-00115-1-26,26.582774844629835,0.8345124893165381,0.09611942049377831,0.27692229916577066,0.29315948486328125,1.788730334243928,1.59521892704292,0.37118423272316464,0.33964305343859363,0.31387650698474284,0.0|0.5|1.0
1.000000-P4P117S304I00010 Gated 70.0A-00115-1-86,23.70900933882328,0.7397613715815253,0.13852445122659418,0.30978098830450773,0.3718070983886719,1.8206390559800816,1.501059801509,0.2743335995809638,0.3369845810168531,0.3660669121927188,0.0|0.5|1.0
1.000000-P4P117S304I00011 Gated 80.0A-89961-1-26,26.822066619145303,0.8289155199441248,0.09206461414080103,0.26473727284437487,0.2936820983886719,1.7890356733722923,1.6187642813363983,0.37509928598620323,0.3230507584264006,0.30176452345003435,0.0|0.5|1.0
1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46,32.057991062404135,0.8808335997591229,0.08772493202225062,0.2414319779116564,0.3279609680175781,1.3441744117642223,1.2068351377706938,0.7691322230597548,0.7702786753280073,0.255392440963066,0.0|0.5|1.0
1.000000-P4P117S304I00012 Gated 90.0A-75833-1-21,26.84988448344324,0.8475622945302248,0.08661898178276672,0.24608420248080456,0.283721923828125,1.7721351540912447,1.7550724851889896,0.35475943765702744,0.33755527431922533,0.29207727904802666,0.0|0.5
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46,31.793061977449078,0.8670742239108457,0.09108497482031375,0.24890937055646992,0.3300514221191406,1.3027078815259898,1.2949822454635025,0.8181486894000235,0.7698306682011051,0.26313468872749013,0.0|0.5|1.0
