case_id,original_energy,dgen_energy,dgen_energy_error,dsr_energy,dsr_energy_error,original_entropy,dgen_entropy,dgen_entropy_error,dsr_entropy,dsr_entropy_error,dgen_status,dgen_pair_distance_energy_iqr,dgen_pair_distance_entropy_iqr,log2_energy_ratio_dgen_s2_LH,log2_energy_ratio_dgen_s2_HL,log2_energy_ratio_dgen_s2_HH,log2_energy_ratio_dgen_s1_LH,log2_energy_ratio_dgen_s1_HL,log2_energy_ratio_dgen_s1_HH,dsr_status,dsr_pair_distance_energy_iqr,dsr_pair_distance_entropy_iqr,log2_energy_ratio_dsr_s2_LH,log2_energy_ratio_dsr_s2_HL,log2_energy_ratio_dsr_s2_HH,log2_energy_ratio_dsr_s1_LH,log2_energy_ratio_dsr_s1_HL,log2_energy_ratio_dsr_s1_HH
1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036,0.006273448059002262,0.005457022849190047,0.0008164252098122153,0.005119063606730736,0.0011543844522715263,0.9359358769715619,0.9492791048557759,0.013343227884214048,0.9488189203821911,0.01288304341062918,approved,0.15113533468194124,0.6750714520442195,0.05846694866426965,-0.6460807690699704,0.23358963230675275,0.4269313988055431,-0.22589799525089826,0.2835948325167853,approved,0.21369781144535668,0.651789424375437,-0.19831554971012114,-0.4528531154030359,-0.06297447723201453,-0.005815235070144446,-0.3031611720097452,-0.04557952301591581
1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047,0.005330241652672929,0.006885487834919962,0.0015552461822470331,0.006036052234207989,0.00070581058153506,0.9447278018164768,0.9531684470116742,0.008440645195197494,0.9516640893849332,0.006936287568456434,approved,0.287904696525455,0.42703599590419994,0.304398381611545,0.27327487771590286,0.8533998667390679,0.47327641745897037,0.5930908090548814,0.9691019222794134,approved,0.1306585308492526,0.3509263096805728,0.16554876142703565,0.11221623221836348,0.4039219697900181,0.24780470206686794,0.36169285361098064,0.595348619433414
1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070,0.01140738204430341,0.008182924499829344,0.0032244575444740665,0.007915244897468799,0.0034921371468346115,0.9459419952064477,0.9556785334804364,0.009736538273988682,0.9506942755425833,0.004752280336135617,approved,0.59690644567907,0.4925988739412748,-0.31987517334155763,-0.7961338431497662,-0.1863525019694768,-0.08364700549824622,-0.39166443570861564,-0.21346575062304793,approved,0.646458867387845,0.24043123709456377,-0.45606301825395473,-0.6253951891833012,-0.43586884882048865,-0.41263213781122604,-0.530476475892203,-0.7290657113570055
1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051,0.012422590293822233,0.007263429399603762,0.005159160894218471,0.007157203338408771,0.005265386955413462,0.9400602089764923,0.9549066247462669,0.014846415769774524,0.9439863374642675,0.003926128487775182,approved,0.955055648765472,0.7511219577693836,-0.4459018394821126,-1.258105220431926,-0.21144384573099517,-0.43701451087823906,-1.0018563382286756,-0.2461433132638269,approved,0.9747200480487107,0.19863388995178544,-0.6529759323158476,-0.842878440234759,-0.9075408597983259,-0.8337254883062778,-1.0584217017860964,-1.0568840860596278
1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033,0.012983347833421645,0.0035187428457043248,0.00946460498771732,0.004943045745436327,0.008040302087985318,0.9430252925363969,0.9501828450855636,0.0071575525491667236,0.9442526500573519,0.0012273575209550414,manual_review,1.7520726029271438,0.3621207277862057,-2.104981854489221,-1.7198967030853773,-1.4511296999962433,-2.2136169786417077,-1.8495175834331556,-2.0853255471828858,manual_review,1.4884079183334775,0.06209547127863636,-1.3056142343110455,-1.3678810200825706,-1.424177495512306,-1.7968496172821427,-1.7023442532308817,-2.0300256534679293
1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58,0.019466876014472816,0.006696585673097023,0.012770290341375792,0.011071082115631048,0.008395793898841769,0.9413952365420676,0.9515257102822078,0.0101304737401402,0.9470606267563055,0.005665390214237953,manual_review,2.3640158112870107,0.5125291778717982,-1.5354827148912922,-1.496954707797163,-1.564217408348041,-1.7644557675021966,-1.5937533267481367,-1.8113216834604637,manual_review,1.5542159962379274,0.2866280356979755,-0.6756650487695209,-0.7854992642341023,-1.1490709002367114,-1.0455095636539222,-1.0602808884861663,-1.557097310622215
1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46,0.013079367005529715,0.005990061940606638,0.007089305064923077,0.008036472892341481,0.005042894113188234,0.9352416032710876,0.9491472616946132,0.013905658423525535,0.9447730929268013,0.00953148965571371,manual_review,1.3123608638885265,0.7035263959409813,-0.9695521356440995,-1.2073795407907997,-1.228374230887417,-1.2753570833525767,-1.27176655344615,-1.5876928556971692,approved,0.9335325274161954,0.48222488725081963,-0.6153435401742033,-0.7024972164767433,-0.8559036896738078,-0.8560100756260777,-0.8740651873018978,-1.1254282269566513
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46,0.013508280685716382,0.008512736788586432,0.00499554389712995,0.005851266666685708,0.007657014019030674,0.9323967579180614,0.954703472275626,0.022306714357564594,0.9391795141267018,0.006782756208640328,manual_review,0.9247671308247832,1.1285594597025623,-0.3720166874017141,-1.1042989099454679,-0.3656909864948229,-0.37792648760226444,-0.8711843146636575,-0.4087039411197859,manual_review,1.4174542413954772,0.34315872608650105,-1.1646450290783947,-1.1987310251536207,-1.2403047686373594,-1.3714170025341441,-1.349693581458643,-1.562562435899567
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58,0.013573753613124616,0.004211435749509726,0.00936231786361489,0.00736615908083161,0.006207594532293006,0.9375140288591188,0.9521781099640951,0.014664081104976301,0.9424270737554027,0.004913044896283858,manual_review,1.733137373405716,0.7418971339118106,-1.524904524786973,-2.005630273274023,-1.3074412859502513,-1.400036750481203,-1.7720965170771232,-1.6722713690144826,manual_review,1.1491400142135284,0.2485647686506664,-0.7109837647463487,-0.9491586920623405,-1.1236540790239948,-1.0276954889899583,-1.1251950003218982,-1.4872755055038607
1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65,0.01783383506717844,0.00537951685884065,0.01245431820833779,0.012307093111764448,0.005526741955413991,0.9487111610422864,0.9552814585119206,0.006570297469634223,0.9515423202719964,0.0028311592297100008,manual_review,2.30552355320516,0.33240984053310235,-1.8259879428972168,-1.663001926173182,-1.4922207301437094,-1.8716145355362253,-1.6952592364368166,-1.858646906096652,manual_review,1.023101669440539,0.14323631348827112,-0.44777561413425093,-0.4678238569527502,-0.8211109159641993,-0.8593311610118036,-0.8728948345916215,-1.4163351503829065
1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43,0.013279694947825889,0.005193854615045312,0.008085840332780578,0.006435328100062099,0.00684436684776379,0.9362252979563515,0.9510449868000076,0.014819688843656142,0.9389270541965358,0.0027017562401843165,manual_review,1.4968378856902458,0.7497697673563907,-1.4652366253360327,-1.4454330634647097,-0.8847376345180298,-1.1407176676036748,-1.1350235240156306,-0.9094951880992366,manual_review,1.267018291192515,0.13668945205444108,-0.8932270584692958,-1.1876083751245903,-1.1567534542885454,-1.007439283900809,-1.2490637602565955,-1.430724489851047
1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54,0.013966906390255857,0.0068215726041799185,0.007145333786075938,0.007993839125407258,0.005973067264848598,0.9430348763075379,0.9532323785261778,0.010197502218639909,0.9479088430900534,0.004873966782515504,manual_review,1.3227328115225132,0.5159203372450595,-0.7622265334822407,-1.2144929608803174,-1.176433376861472,-1.1429468382046002,-1.3097966903052192,-1.283495648946523,manual_review,1.1057246999492807,0.2465876968930925,-0.6491129983777141,-0.7941739116808207,-1.1265224459688419,-1.0260641719634032,-1.0421810974999035,-1.4003841990110972
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49,0.01565387409561452,0.0055518501789471085,0.010102023916667414,0.007909111087473455,0.007744763008141066,0.9394282693305427,0.9512417633398207,0.011813494009278003,0.944247082909588,0.004818813579045345,manual_review,1.8700705799636872,0.5976779100051124,-1.2143657745662024,-1.8992085156239327,-1.1230396703189451,-1.2839688007675107,-1.690650308235905,-1.3528628575339168,manual_review,1.4336981945191827,0.24379734110552936,-0.9749728295542281,-0.9365764846028093,-1.0289278571785492,-1.1495051693216958,-1.2261378679681483,-1.579285673962896
1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53,0.018698993357479595,0.007153258983581213,0.011545734373898383,0.010283232688582769,0.008415760668896826,0.9451839272469232,0.9538576022043036,0.008673674957380362,0.9478255708685537,0.0026416436216304406,manual_review,2.1373279606949946,0.438825627415509,-1.3974352747025547,-1.3690316025762956,-1.2287819910231557,-1.6795051295437213,-1.383379190058365,-1.6552483614370928,manual_review,1.5579122129134053,0.1336481854999401,-0.6313318751521362,-0.9444070653290896,-1.2880030356985346,-1.173136341447043,-1.226354392714157,-1.9514257152503152
1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044,0.014602718664010271,0.008595899243444272,0.006006819420565999,0.007850289951359104,0.006752428712651167,0.9265527524540539,0.9524286522716823,0.02587589981762839,0.9439781368078529,0.017425384353799034,manual_review,1.1119728452653221,1.309134597296587,-0.5449758992914104,-0.9875062092328281,-0.6496230586547628,-0.7590071506846698,-0.8888620711124855,-1.101801383918111,manual_review,1.2499988500320982,0.8815992367232685,-0.6267387841776059,-1.061996051228094,-1.0230890567108664,-1.0158275766214393,-1.1644907642113942,-1.4762290315465343
1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065,0.018058644692612615,0.011237964796408095,0.00682067989620452,0.011099840777807268,0.006958803914805347,0.9373621067686234,0.9569308830474372,0.019568776278813815,0.9477336440377603,0.010371537269136866,manual_review,1.2626334004413724,0.9900394666043316,-0.6687870675293078,-0.7066121629417148,-0.5528831666180365,-0.735739990350284,-0.8818060583958214,-0.9118246496063035,manual_review,1.2882026988020296,0.5247252602565718,-0.5267683003735453,-0.7125631146641714,-1.017429975751465,-0.8912486781145845,-1.0562060262780226,-1.6071127096912263
1.000000-P4P117S308I00009 Gated 60.0A-55977-1-039,0.013930954370269928,0.008483985921080885,0.0054469684491890435,0.010208280703980147,0.0037226736662897813,0.934801009462291,0.9484137577427768,0.013612748280485754,0.9493661273707792,0.014565117908488134,manual_review,1.0083341250076174,0.6887072474338739,-0.8057526117635755,-0.49002314918227574,-1.0937870859286456,-0.6425293782883649,-0.7795366892783433,-1.256282005311079,approved,0.6891354207395977,0.7368903072779612,-0.27379136151442146,-0.483153938050878,-0.6494763675541108,-0.5489843485002623,-0.8440422974534062,-1.20180345362159
