case_id,original_contrast,dgen_contrast,dsr_contrast,original_energy,dgen_energy,dsr_energy,dgen_mae,dsr_mae,dgen_sharpness,dsr_sharpness,dgen_contrast_error,dsr_contrast_error
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27,8.41411241622952,3.9557041480398536,4.055324047134652,0.010899185238912664,0.02335754125116393,0.01768207762336646,0.4313685150741104,0.2984362478191173,0.03610812611932496,0.03298407669721405,4.458408268189666,4.358788369094867
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59,10.10212453550209,3.9248292105399907,6.289959922003766,0.007042396620919141,0.018968335981011792,0.008610782908667418,0.5755132749716523,0.27216488404451744,0.04204998508653221,0.05275954372263227,6.1772953249621,3.8121646134983243
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044,7.186516644809879,3.7990218696412708,3.5458667339654597,0.01601333922138983,0.022567807732207176,0.024992872397700525,0.29640528305323327,0.2664656421606295,0.042363302982603795,0.029559127614639746,3.3874947751686086,3.6406499108444197
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062,7.773942256193882,2.833702543393488,4.144348783972579,0.011172041408120864,0.03190914217776857,0.01807145961486064,0.4223477206591683,0.25565098485887033,0.027537735508578617,0.032244322381328676,4.940239712800394,3.629593472221303
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072,9.490320640347125,2.609525506191896,5.869081364812361,0.006699279555584843,0.03538495791823901,0.009230656875885604,0.5507623538157496,0.22216150497428933,0.02483545224765525,0.04618745724401765,6.880795134155229,3.621239275534764
1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054,2.361448257250573,3.8381685314985052,2.1925479314147025,0.03343219432107382,0.01822243779658468,0.041252168354630796,0.2513009948417973,0.2275691824979947,0.035138081221382005,0.016514864302799782,1.4767202742479322,0.16890032583587056
1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036,2.7668730526865772,3.1240093133479663,2.5026079607281595,0.047354957838007555,0.02952079015602232,0.03799401117735511,0.20308283459160323,0.13633740680169018,0.02996071335899613,0.021832066010644177,0.35713626066138904,0.26426509195841774
1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047,2.3552074032607653,3.534465727087565,2.8986307249979895,0.037054057426469,0.024308799223386135,0.027550096634355772,0.21618859420989228,0.15142764455847363,0.03234545982642907,0.023326110351812607,1.1792583238267995,0.5434233217372242
1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070,5.073936175043215,4.4703761194389156,3.7043321050987195,0.01428912352245085,0.01381479219649645,0.018933562643774583,0.31401960545570723,0.32040226714757386,0.04346407325983359,0.03098059289631027,0.6035600556042997,1.3696040699444958
1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051,5.854082123069111,3.85994685243981,3.240125682722749,0.02288947690013266,0.021334240884363875,0.03254714367395688,0.23767043964160536,0.19573029873070524,0.03869298079364263,0.023815232103691037,1.9941352706293012,2.6139564403463624
